section	key	value
input	path	references/templates/reference_reg.docx
input	ext	.docx
reference	path	extracted_output/reference_reg/reference.docx
reference	style_name_count	39
reference	missing_required	-
reference	missing_recommended	-
table	table_count	2
table	sample_index	0
table	sample_style_id	aa
table	has_style_Table	false
table	basedOn_chain	aa -> a1
table	wrote_sample_table	true
table	wrote_table_style	true
table	wrote_bundle	true
preview	attempted	true
preview	engine	docx2pdf
preview	pdf_path	extracted_output/reference_reg/preview\source.pdf
preview	page_count	1
preview	note	-
